MS_system,Microservice,AVG_in_degree,AVG_out_degree,CM_in_degree,Clustering & Authority Score,Clustering & Betweenness Centrality,Clustering & Closeness Centrality,Clustering & Degree Centrality,Clustering & Eigenvector Centrality,Clustering & Hub Score,Clustering & In-degree Centrality,Clustering & Out-degree Centrality,Clustering & PageRank Centrality,ER_in_degree,ER_out_degree,LOUBAR_in_degree,LOUBAR_out_degree,CM_out_degree,Arcan_abs,Arcan_norm,ScaleFree,Int. Clustering & Degree,Int. Clustering & In-degree,Int. Clustering & Out-degree,Int. Clustering & Eigenvector Centrality,Int. Clustering & Betweenness Centrality,Int. Clustering & Closeness Centrality,Int. Clustering & PageRank Centrality,Int. Clustering & Hub Score,Int. Clustering & Authority Score
microservices-basics-spring-boot,github-repository,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,0.0,1.0,6.334500270951322e-13,0.0,0.0,0.0430753668281864,-0.0,-0.0
piggymetrics,statistics-service,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,1.0,0.0652320540541364,-0.08257575757575761,0.1875598086124402,-0.11208530117947792,-0.1348051882035023,-0.04454824145796932
piggymetrics,account-service,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,1.0,-0.034767993525668284,-0.2643939393939394,0.0347107438016529,-0.22942171680902118,-0.23480518820350227,-0.15525925415255418
piggymetrics,notification-service,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,1.0,1.0,0.0652320064743317,-0.08257575757575761,0.13471074380165288,-0.1294217168090212,-0.12998068317083272,-0.0552592541525542
piggymetrics,config,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,1.0,-0.25,1.0,-0.24999999720118796,-0.25,-0.25,-0.2296041051856706,0.0334264303404358,-0.25
piggymetrics,turbine-stream-service,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,1.0,0.053951206710187494,-0.030303030303030304,0.183982683982684,-0.0525142311279192,-0.0905039423043891,-0.09723023122755871
piggymetrics,registry,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,0.6904761904761905,0.31711425907422436,-0.00952380952380949,0.30411255411255417,-0.1387191225066761,-0.2885498669371317,-0.13940461504494447
piggymetrics,monitoring,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,-0.5,-0.3838317824877484,-0.5,-0.19696969696969702,-0.42892228814889943,-0.5,-0.417974512038141
piggymetrics,auth-service,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,1.0,1.0,-0.22625541042240033,-0.3977272727272728,-0.0931818181818182,-0.3417912398759212,-0.21421749861313893,-0.29763789692233034
piggymetrics,gateway,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,1.0,1.0,-0.0700382133298093,-0.09090909090909094,0.009090909090909094,-0.23225324663034833,-0.23468417919519752,-0.33056356456089214
piggymetrics,rabbitmq,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,1.0,0.4189824369878622,0.1272727272727272,0.4090909090909091,0.1077533469134622,0.0209739425866778,0.0457150637472299
piggymetrics,external-website,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,0.0,1.0,2.798812042112773e-09,0.0,0.0,0.0203958948143294,0.0469556975101045,-0.0
piggymetrics,mail-server,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,0.0,0.1396606873156828,0.0,0.284090909090909,0.040393250354687,-0.0,0.0159720296192379
qbike,qbike-order,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,1.0,1.0,4.099802538091645e-05,0.0897435897435897,0.2899408284023668,0.1310552559086932,-1.5439317556821525e-17,0.0
qbike,qbike-intention,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,-0.5,1.0,-0.4999999999535939,-0.5,-0.5,-0.4723514881455557,-0.5,-0.5
qbike,microservice-api-gateway,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,0.0,0.9999726001588424,0.0,0.3076923076923077,0.2042688340365514,0.0,1.9774313657762468e-17
qbike,qbike-trip,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.5,0.5,-0.49999997475508196,-0.5,-0.42307692307692313,-0.4606008880196292,-0.5,-0.5
qbike,eureka,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,,1.0,1.0,0.95,-0.042597483489258306,0.020512820512820495,0.3378205128205128,0.15778447801882317,-0.049999999999999996,-0.05000000000000008
qbike,qbike-uc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,4.6406099391842915e-11,0.0,0.0,0.0276485118544443,-1.5439317556821525e-17,0.0
